,name,company,year,Price,kms_driven,fuel_type,transmission
948,Hyundai Xcent,Hyundai,2014,455000,55850,Diesel,Manual
949,Tata Nano,Tata,2010,75000,58850,Petrol,Manual
950,Toyota Etios,Toyota,2015,421000,23839,Petrol,Manual
951,Maruti Swift,Maruti,2016,550000,54000,Diesel,Manual
952,Hyundai i10,Hyundai,2013,330000,38000,Petrol,Automatic
953,Volkswagen Vento,Volkswagen,2012,390000,45454,Diesel,Manual
954,Skoda Rapid,Skoda,2015,599000,46957,Diesel,Automatic
955,Hyundai Getz,Hyundai,2007,110000,60000,Petrol,Manual
956,Renault KWID,Renault,2016,250000,25000,Petrol,Manual
957,Mahindra Scorpio,Mahindra,2012,600000,110000,Diesel,Manual
958,Ford Endeavour,Ford,2008,280000,190000,Diesel,Manual
959,Audi Q3,Audi,2018,2700000,25000,Diesel,Automatic
960,Mahindra Renault,Mahindra,2008,80000,90000,Petrol,Manual
961,Maruti Alto,Maruti,2019,350000,5000,Petrol,Manual
962,Maruti Swift,Maruti,2015,475000,60000,Diesel,Manual
963,Audi A5,Audi,2020,4700000,1500,Diesel,Automatic
964,Maruti Swift,Maruti,2018,500000,50000,Diesel,Manual
965,Chevrolet Sail,Chevrolet,2014,250000,120000,Diesel,Manual
966,Hyundai Accent,Hyundai,2005,100000,120000,Diesel,Manual
967,Maruti Alto,Maruti,2019,350000,5000,Petrol,Manual
968,BMW 7,BMW,2014,4000000,47000,Diesel,Automatic
969,Toyota Camry,Toyota,2017,1900000,20000,Petrol,Automatic
970,Hyundai Santro,Hyundai,2005,95000,120000,Petrol,Manual
971,Hyundai Grand,Hyundai,2015,409999,58000,Diesel,Manual
972,Mahindra XUV500,Mahindra,2018,1050000,35000,Diesel,Manual
973,Maruti Alto,Maruti,2017,320000,30000,Petrol,Manual
974,Mahindra XUV300,Mahindra,2019,1000000,10000,Diesel,Manual
975,Toyota Innova,Toyota,2017,1770000,25000,Diesel,Manual
976,Mahindra Thar,Mahindra,2018,950000,20000,Diesel,Manual
977,Maruti Swift,Maruti,2018,750000,50000,Diesel,Manual
978,Hyundai EON,Hyundai,2014,220000,42000,Petrol,Manual
979,Tata Hexa,Tata,2017,1000000,50000,Diesel,Manual
980,Honda Mobilio,Honda,2017,660000,116000,Diesel,Manual
981,Maruti Ertiga,Maruti,2015,716000,100000,Diesel,Manual
982,Maruti Ciaz,Maruti,2015,675000,66000,Petrol,Manual
983,Mahindra Scorpio,Mahindra,2010,385000,110000,Diesel,Manual
984,Fiat Grande,Fiat,2014,325000,70000,Diesel,Manual
985,Hyundai Creta,Hyundai,2015,950000,60000,Diesel,Manual
986,Ford Endeavour,Ford,2007,400000,110000,Diesel,Automatic
987,Tata Indica,Tata,2014,250000,25000,Diesel,Manual
988,Land Rover,Land,2018,4000000,68000,Petrol,Automatic
989,Maruti Alto,Maruti,2014,210000,20000,Petrol,Manual
990,Hyundai i10,Hyundai,2011,147000,110000,Petrol,Manual
991,Maruti Vitara,Maruti,2018,725000,26350,Diesel,Manual
992,Mahindra Scorpio,Mahindra,2012,550000,90000,Diesel,Manual
993,Hyundai i20,Hyundai,2016,475000,25000,Petrol,Manual
994,Hyundai Santro,Hyundai,2014,250000,50000,Petrol,Manual
995,Tata Indica,Tata,2006,70000,60000,Petrol,Manual
996,Hyundai EON,Hyundai,2012,160000,70000,Petrol,Manual
997,Ford Endeavour,Ford,2011,1000000,90000,Diesel,Automatic
998,Hyundai Santro,Hyundai,2001,68000,70000,Petrol,Manual
999,Hyundai Grand,Hyundai,2017,500000,26500,Petrol,Manual
1000,Tata Indigo,Tata,2013,170000,60000,Diesel,Manual
1001,Mahindra Scorpio,Mahindra,2018,1300000,35000,Diesel,Manual
1002,Hyundai Creta,Hyundai,2020,1050000,10000,Diesel,Manual
1003,Maruti Ritz,Maruti,2009,300000,15000,Petrol,Manual
1004,Hyundai i20,Hyundai,2016,600000,25000,Petrol,Manual
1005,Hyundai Verna,Hyundai,2017,900000,50000,Diesel,Manual
1006,Hyundai Grand,Hyundai,2019,550000,25000,Petrol,Manual
1007,Maruti Alto,Maruti,2007,100000,52000,Petrol,Manual
1008,Honda Brio,Honda,2017,400000,15000,Petrol,Manual
1009,Tata Nano,Tata,2011,120000,20000,Petrol,Manual
1010,Hyundai i20,Hyundai,2013,300000,90000,Diesel,Manual
1011,Tata Indigo,Tata,2011,140000,60000,Diesel,Manual
1012,Skoda Rapid,Skoda,2015,640000,23000,Petrol,Manual
1013,Maruti Alto,Maruti,2018,380000,22155,Petrol,Manual
1014,Tata Nano,Tata,2011,120000,20000,Petrol,Manual
1015,Maruti Ciaz,Maruti,2018,650000,70000,Petrol,Manual
1016,Maruti Alto,Maruti,2009,150000,60000,Petrol,Manual
1017,Ford Figo,Ford,2018,550000,35000,Petrol,Manual
1018,Mahindra XUV500,Mahindra,2012,650000,71042,Diesel,Manual
1019,Mitsubishi Pajero,Mitsubishi,2012,1025000,167870,Diesel,Manual
1020,Ford Fiesta,Ford,2011,195000,133564,Diesel,Manual
1021,Mercedes-Benz C-Class,Mercedes-Benz,2018,3800000,10000,Diesel,Automatic
1022,BMW 3,BMW,2013,1490000,40000,Diesel,Automatic
1023,BMW X5,BMW,2019,4950000,30000,Diesel,Automatic
1024,Honda City,Honda,2018,1140000,23038,Petrol,Automatic
1025,Chevrolet Beat,Chevrolet,2011,95000,70000,Diesel,Manual
1026,BMW 3,BMW,2017,3050000,30000,Diesel,Automatic
1027,Hyundai Grand,Hyundai,2017,550000,19890,Petrol,Automatic
1028,Maruti Ertiga,Maruti,2015,625000,11918,Petrol,Manual
1029,Hyundai Grand,Hyundai,2017,520000,10510,Petrol,Automatic
1030,Chevrolet Beat,Chevrolet,2016,239000,41000,Petrol,Manual
1031,Toyota Fortuner,Toyota,2017,2600000,47162,Diesel,Automatic
1032,Hyundai i10,Hyundai,2012,229999,49824,Petrol,Manual
1033,Audi A6,Audi,2013,1300000,58500,Diesel,Automatic
1034,Maruti Baleno,Maruti,2017,585000,43608,Petrol,Manual
1035,Maruti Baleno,Maruti,2018,825000,11212,Petrol,Automatic
1036,Hyundai i20,Hyundai,2013,280000,52000,Diesel,Manual
1037,Maruti Baleno,Maruti,2016,725000,49217,Petrol,Manual
1038,Mahindra Verito,Mahindra,2015,300000,90000,Diesel,Manual
1039,Hyundai Xcent,Hyundai,2015,375000,70000,Petrol,Manual
1040,Honda City,Honda,2003,310000,90000,Petrol,Manual
1041,Maruti Swift,Maruti,2011,375000,190000,Diesel,Manual
1042,Ford Endeavour,Ford,2016,1950000,106000,Diesel,Automatic
1043,Tata Xenon,Tata,2012,400000,80000,Diesel,Manual
1044,Nissan Terrano,Nissan,2014,550000,80000,Diesel,Manual
1045,Maruti Eeco,Maruti,2018,270000,20000,Petrol,Manual
1046,Maruti Ertiga,Maruti,2012,555000,110000,Diesel,Manual
1047,Ford Ecosport,Ford,2013,500000,60000,Diesel,Manual
1048,Skoda Laura,Skoda,2010,400000,130000,Diesel,Automatic
1049,Hyundai EON,Hyundai,2017,280000,28838,Petrol,Manual
1050,Tata Indica,Tata,2008,80000,200000,Petrol,Manual
1051,Tata Indica,Tata,2006,55000,100000,Diesel,Manual
1052,Maruti Alto,Maruti,2014,250000,50000,Petrol,Manual
1053,Mahindra Bolero,Mahindra,2010,250000,190000,Diesel,Manual
1054,Mahindra Jeep,Mahindra,2007,95000,100000,Diesel,Manual
1055,Mahindra Scorpio,Mahindra,2014,725000,135000,Diesel,Manual
1056,Mahindra Bolero,Mahindra,2015,320000,50000,Diesel,Manual
1057,Skoda Octavia,Skoda,2014,1200000,135000,Diesel,Automatic
1058,Chevrolet Beat,Chevrolet,2012,160000,50000,Diesel,Manual
1059,Honda Jazz,Honda,2018,790000,19571,Diesel,Manual
1060,Honda City,Honda,2018,1200000,29600,Petrol,Manual
1061,Maruti Swift,Maruti,2011,175000,70000,Petrol,Manual
1062,Maruti Vitara,Maruti,2018,950000,15000,Diesel,Automatic
1063,Maruti Celerio,Maruti,2019,340000,50000,Petrol,Manual
1064,Renault Captur,Renault,2017,825000,13500,Diesel,Manual
1065,Audi A4,Audi,2018,3100000,22000,Petrol,Automatic
1066,Honda Amaze,Honda,2018,780000,25000,Diesel,Manual
1067,Toyota Corolla,Toyota,2010,350000,80000,Petrol,Automatic
1068,Honda Amaze,Honda,2018,690000,39000,Petrol,Manual
1069,Maruti Alto,Maruti,2016,245000,60000,Petrol,Manual
1070,Honda Amaze,Honda,2018,790000,49000,Diesel,Manual
1071,Honda Amaze,Honda,2018,680000,48600,Petrol,Manual
1072,Hyundai Grand,Hyundai,2017,540000,20000,Petrol,Manual
1073,Mahindra KUV,Mahindra,2016,425000,25000,Petrol,Manual
1074,Maruti Zen,Maruti,2008,140000,120000,Petrol,Manual
1075,Maruti Ertiga,Maruti,2019,1100000,30000,Diesel,Manual
1076,Renault Lodgy,Renault,2015,715000,35000,Diesel,Manual
1077,Audi A4,Audi,2013,1580000,86000,Diesel,Automatic
1078,Audi Q3,Audi,2015,1750000,127643,Diesel,Automatic
1079,Tata Zest,Tata,2018,400000,54000,Petrol,Manual
1080,Audi A6,Audi,2014,1750000,102354,Diesel,Automatic
1081,Audi Q5,Audi,2014,1850000,62237,Petrol,Automatic
1082,Hyundai Santro,Hyundai,2005,114999,90000,Petrol,Manual
1083,Ford EcoSport,Ford,2018,950000,21394,Diesel,Manual
1084,Datsun GO,Datsun,2015,310000,32686,Petrol,Manual
1085,Mahindra Jeep,Mahindra,2006,575000,1001,Diesel,Manual
1086,Renault Pulse,Renault,2017,490000,22000,Diesel,Manual
1087,Hyundai Grand,Hyundai,2017,480000,53261,Petrol,Manual
1088,Land Rover,Land,2016,3500000,53000,Diesel,Automatic
1089,Renault KWID,Renault,2018,370000,10000,Petrol,Manual
1090,Maruti Baleno,Maruti,2017,835000,14000,Diesel,Manual
1091,Volkswagen Polo,Volkswagen,2017,650000,44000,Petrol,Manual
1092,Toyota Etios,Toyota,2014,670000,39895,Diesel,Manual
1093,Chevrolet Cruze,Chevrolet,2017,950000,73000,Diesel,Automatic
1094,Honda City,Honda,2014,690000,17000,Petrol,Manual
1095,Volkswagen Polo,Volkswagen,2017,670000,18591,Petrol,Manual
1096,Tata Nexon,Tata,2017,925000,26766,Diesel,Manual
1097,Hyundai EON,Hyundai,2015,250000,30000,Petrol,Manual
1098,Tata Sumo,Tata,2016,509999,42000,Diesel,Manual
1099,Honda City,Honda,2014,520000,110000,Diesel,Manual
1100,Tata Indica,Tata,2005,100000,100000,Diesel,Manual
1101,Tata Indica,Tata,2006,85000,300000,Diesel,Manual
1102,Tata Indigo,Tata,2009,130000,110000,Diesel,Manual
1103,Ford EcoSport,Ford,2018,950000,27620,Diesel,Manual
1104,Ford Figo,Ford,2015,450000,70000,Petrol,Manual
1105,Honda City,Honda,2012,320000,50000,Petrol,Manual
1106,Maruti Swift,Maruti,2015,480000,50000,Diesel,Manual
1107,Mercedes-Benz New,Mercedes-Benz,2014,2490000,46000,Diesel,Automatic
1108,Toyota Innova,Toyota,2012,790000,82000,Diesel,Manual
1109,Maruti Omni,Maruti,2016,120000,120000,Petrol,Manual
1110,Maruti Alto,Maruti,2006,75000,80000,Petrol,Manual
1111,Tata Indica,Tata,2010,99000,70000,Petrol,Manual
1112,Maruti S-Cross,Maruti,2018,1015000,20000,Diesel,Manual
1113,Mahindra Xylo,Mahindra,2013,250000,200000,Diesel,Manual
1114,Toyota Innova,Toyota,2011,520000,120000,Diesel,Manual
1115,Hyundai Verna,Hyundai,2018,1100000,30000,Diesel,Automatic
1116,Toyota Innova,Toyota,2005,200000,223000,Diesel,Manual
1117,Maruti Swift,Maruti,2016,525000,60000,Diesel,Manual
1118,Hyundai i20,Hyundai,2016,500000,40000,Petrol,Manual
1119,Mahindra Scorpio,Mahindra,2016,675000,161327,Diesel,Manual
1120,Hyundai i10,Hyundai,2009,150000,60000,Petrol,Manual
1121,Mahindra Bolero,Mahindra,2007,250000,50000,Diesel,Manual
1122,Hyundai Grand,Hyundai,2018,450000,6000,Petrol,Manual
1123,Hyundai Santro,Hyundai,2009,150000,68000,Petrol,Manual
1124,Chevrolet Beat,Chevrolet,2012,200000,85000,Diesel,Manual
1125,Mahindra Scorpio,Mahindra,2011,525000,70000,Diesel,Automatic
1126,Maruti Esteem,Maruti,1999,60000,35000,Petrol,Manual
1127,Maruti Swift,Maruti,2010,180000,100000,Diesel,Manual
1128,Honda Amaze,Honda,2015,475000,110000,Diesel,Manual
1129,Mahindra Scorpio,Mahindra,2010,380000,195000,Diesel,Automatic
1130,Maruti Alto,Maruti,2015,285000,46000,Petrol,Manual
1131,Maruti Alto,Maruti,2008,91200,60000,Petrol,Manual
1132,Datsun RediGO,Datsun,2017,250000,46000,Petrol,Manual
1133,Hyundai Grand,Hyundai,2015,400000,42000,Diesel,Manual
1134,Hyundai Santro,Hyundai,2006,160000,90000,Petrol,Automatic
1135,Skoda Yeti,Skoda,2012,650000,85000,Diesel,Manual
1136,Hyundai Verna,Hyundai,2012,409999,120000,Diesel,Manual
1137,Ford Ecosport,Ford,2013,425000,72000,Diesel,Manual
1138,Maruti Wagon,Maruti,2013,250000,71000,CNG,Manual
1139,Maruti Swift,Maruti,2009,200000,110000,Petrol,Manual
1140,Maruti Wagon,Maruti,2013,250000,71000,CNG,Manual
1141,Volkswagen Polo,Volkswagen,2010,130000,144000,Diesel,Manual
1142,Maruti Eeco,Maruti,2017,260000,30000,Petrol,Manual
1143,Hyundai Verna,Hyundai,2007,155000,65000,Petrol,Manual
1144,Honda Jazz,Honda,2015,450000,38000,Diesel,Manual
1145,Maruti SX4,Maruti,2012,220000,90000,Petrol,Manual
1146,Hyundai i20,Hyundai,2018,650000,37000,Diesel,Manual
1147,Maruti Alto,Maruti,2018,285000,30000,Petrol,Manual
1148,Honda Amaze,Honda,2018,725000,26000,Petrol,Automatic
1149,Maruti Ciaz,Maruti,2016,625000,30000,Petrol,Manual
1150,Hyundai i20,Hyundai,2016,550000,23000,Petrol,Manual
1151,Hyundai i10,Hyundai,2012,240000,40000,Petrol,Manual
1152,Nissan Terrano,Nissan,2014,600000,27000,Diesel,Manual
1153,Tata New,Tata,2012,350000,65000,Diesel,Manual
1154,Hyundai EON,Hyundai,2015,245000,32000,Petrol,Manual
1155,Mahindra Bolero,Mahindra,2016,600000,56000,Diesel,Manual
1156,BMW X1,BMW,2017,2400000,30000,Diesel,Automatic
1157,Mahindra Scorpio,Mahindra,2014,620000,80000,Diesel,Manual
1158,Maruti Swift,Maruti,2014,395000,52000,Petrol,Manual
1159,Maruti Ertiga,Maruti,2014,635000,13250,Petrol,Manual
1160,Maruti Alto,Maruti,2011,180000,36000,Petrol,Manual
1161,Maruti Swift,Maruti,2015,484999,73000,Diesel,Manual
1162,Maruti Alto,Maruti,2004,110000,60000,Petrol,Manual
1163,Maruti Wagon,Maruti,2006,150000,60000,Petrol,Manual
1164,Chevrolet Tavera,Chevrolet,2012,400000,110000,Diesel,Manual
1165,Tata Indica,Tata,2012,200000,70000,Diesel,Manual
1166,Renault Duster,Renault,2013,302000,60000,Diesel,Manual
1167,Maruti Swift,Maruti,2011,215000,90000,Diesel,Manual
1168,Maruti Wagon,Maruti,2004,155000,80000,Petrol,Manual
1169,Toyota Innova,Toyota,2014,1000000,101000,Diesel,Manual
1170,Mahindra Bolero,Mahindra,2018,550000,44000,Diesel,Manual
1171,Maruti Swift,Maruti,2006,200000,45000,Petrol,Manual
1172,Mahindra Scorpio,Mahindra,2017,750000,120000,Diesel,Manual
1173,Maruti Zen,Maruti,2005,90000,90000,Petrol,Manual
1174,Maruti Wagon,Maruti,2007,80000,120000,Petrol,Manual
1175,Hyundai EON,Hyundai,2013,229999,13500,Petrol,Manual
1176,Renault KWID,Renault,2017,350000,10000,Petrol,Manual
1177,Hyundai Grand,Hyundai,2015,325000,25000,Petrol,Manual
1178,Tata Tigor,Tata,2018,450000,8500,Petrol,Manual
1179,Maruti SX4,Maruti,2012,250000,120000,Diesel,Manual
1180,Volkswagen Polo,Volkswagen,2012,225000,120000,Diesel,Manual
1181,Maruti Alto,Maruti,2009,150000,90246,Petrol,Manual
1182,Maruti Alto,Maruti,2008,110000,90000,Petrol,Manual
1183,Maruti Alto,Maruti,2010,150000,40000,Petrol,Manual
1184,Maruti Gypsy,Maruti,2000,165000,60000,Petrol,Manual
1185,Renault Duster,Renault,2017,610000,32000,Diesel,Manual
1186,Tata Manza,Tata,2013,170000,60400,Diesel,Manual
1187,Hyundai Verna,Hyundai,2008,150000,70950,Diesel,Manual
1188,Hyundai i20,Hyundai,2013,300000,90000,Diesel,Manual
1189,Hyundai Xcent,Hyundai,2015,375000,72000,Diesel,Manual
1190,Maruti Swift,Maruti,2013,390000,90000,Diesel,Manual
1191,Hyundai i20,Hyundai,2017,600000,10000,Petrol,Manual
1192,Maruti Alto,Maruti,2014,204999,25000,Petrol,Manual
1193,Hyundai Verna,Hyundai,2009,270000,80000,Diesel,Manual
1194,Hyundai Grand,Hyundai,2017,375000,10000,Petrol,Manual
1195,Maruti Baleno,Maruti,2020,700000,1100,Petrol,Manual
1196,Maruti Swift,Maruti,2017,455000,40000,Petrol,Manual
1197,Hyundai i10,Hyundai,2017,375000,10000,Petrol,Manual
1198,Hyundai Grand,Hyundai,2014,341000,31491,Petrol,Manual
1199,Maruti Swift,Maruti,2014,200000,107143,Diesel,Manual
1200,Maruti Ignis,Maruti,2017,450000,15000,Petrol,Automatic
1201,Hyundai Santro,Hyundai,2012,170000,50000,Petrol,Manual
1202,Toyota Innova,Toyota,2017,1900000,100000,Diesel,Manual
1203,Mahindra Bolero,Mahindra,2016,500000,60000,Diesel,Manual
1204,Maruti Vitara,Maruti,2016,819999,85000,Diesel,Manual
1205,Maruti Swift,Maruti,2014,351000,40000,Petrol,Manual
1206,Hyundai i10,Hyundai,2011,195000,80000,Petrol,Manual
1207,Maruti Swift,Maruti,2008,250000,82000,Diesel,Manual
1208,Maruti Zen,Maruti,2008,120000,70000,Petrol,Manual
1209,Maruti A-Star,Maruti,2009,180000,70000,Petrol,Manual
1210,Mahindra KUV,Mahindra,2016,430000,20000,Diesel,Manual
1211,Tata Nano,Tata,2012,75000,35000,Petrol,Manual
1212,Mahindra Xylo,Mahindra,2017,750000,80000,Diesel,Manual
1213,Tata Nano,Tata,2011,60000,40000,Petrol,Manual
1214,Toyota Innova,Toyota,2015,1500000,46412,Diesel,Manual
1215,Mahindra Bolero,Mahindra,2011,390000,150000,Diesel,Manual
1216,Mahindra TUV,Mahindra,2016,630000,50000,Diesel,Manual
1217,Tata Safari,Tata,2018,1085000,15000,Diesel,Manual
1218,Hyundai i10,Hyundai,2012,190000,60000,Petrol,Manual
1219,Maruti Baleno,Maruti,2018,550000,25000,Petrol,Automatic
1220,Maruti Alto,Maruti,2012,200000,90000,Petrol,Manual
1221,Chevrolet Spark,Chevrolet,2011,165000,60000,Petrol,Manual
1222,Ford Figo,Ford,2013,260000,65000,Diesel,Manual
1223,Maruti Alto,Maruti,2011,151000,40000,Petrol,Manual
1224,Maruti Vitara,Maruti,2018,780000,50000,Diesel,Manual
1225,Tata Indica,Tata,2012,175000,80000,Diesel,Manual
1226,Tata Indica,Tata,2010,170000,107500,Diesel,Manual
1227,Tata Indica,Tata,2013,210000,135000,Diesel,Manual
1228,Maruti Alto,Maruti,2007,90000,43826,Petrol,Manual
1229,Hyundai i20,Hyundai,2016,535000,55838,Petrol,Manual
1230,Maruti Swift,Maruti,2007,195000,112880,Diesel,Manual
1231,Tata Indica,Tata,2011,140000,90000,Diesel,Manual
1232,Nissan Sunny,Nissan,2012,350000,40000,Petrol,Manual
1233,Hyundai Verna,Hyundai,2013,425000,66000,Petrol,Manual
1234,Renault KWID,Renault,2017,300000,30300,Petrol,Manual
1235,Volkswagen Vento,Volkswagen,2013,340000,85000,Diesel,Manual
1236,Maruti Swift,Maruti,2009,250000,80659,Petrol,Manual
1237,Chevrolet Aveo,Chevrolet,2008,170000,81324,Petrol,Manual
1238,Honda Amaze,Honda,2013,315000,127884,Diesel,Manual
1239,Chevrolet Beat,Chevrolet,2015,200000,50000,Petrol,Manual
1240,Chevrolet Beat,Chevrolet,2016,300000,25000,Petrol,Manual
1241,Honda Amaze,Honda,2015,300000,66755,Diesel,Manual
1242,Honda City,Honda,2013,380000,123084,Petrol,Manual
1243,Maruti Swift,Maruti,2009,250000,806599,Petrol,Manual
1244,Honda Amaze,Honda,2013,310000,95851,Diesel,Manual
1245,Maruti Wagon,Maruti,2010,260000,50000,Petrol,Manual
1246,Maruti Omni,Maruti,2008,150000,50000,Petrol,Manual
1247,Maruti Esteem,Maruti,2006,85000,60000,Petrol,Manual
1248,Maruti Alto,Maruti,2015,280000,15000,Petrol,Manual
1249,Mahindra Xylo,Mahindra,2016,850000,40000,Diesel,Manual
1250,Datsun GO,Datsun,2017,375000,20000,Petrol,Manual
1251,Hyundai Elantra,Hyundai,2006,125000,120000,Diesel,Manual
1252,Chevrolet Beat,Chevrolet,2012,250000,110000,Diesel,Manual
1253,Toyota Corolla,Toyota,2014,715000,234000,Diesel,Manual
1254,Hyundai i20,Hyundai,2011,220000,70000,Diesel,Manual
1255,Tata Indica,Tata,2010,110000,110000,Diesel,Manual
1256,Hyundai Verna,Hyundai,2007,150000,84000,Petrol,Manual
1257,Nissan Sunny,Nissan,2012,300000,170000,Diesel,Manual
1258,Datsun RediGO,Datsun,2017,220000,40000,Petrol,Manual
1259,Maruti Wagon,Maruti,2006,75000,96000,Petrol,Manual
1260,Tata Indigo,Tata,2009,100000,20000,Diesel,Manual
1261,Ford Figo,Ford,2016,380000,15000,Petrol,Manual
1262,Hyundai Santro,Hyundai,2007,100000,50000,Petrol,Manual
1263,Volkswagen Passat,Volkswagen,2010,480000,80000,Petrol,Manual
1264,Toyota Etios,Toyota,2012,300000,124000,Diesel,Manual
1265,Chevrolet Beat,Chevrolet,2013,190000,70000,Diesel,Manual
1266,Ford Figo,Ford,2012,190000,130000,Diesel,Manual
1267,Ford EcoSport,Ford,2017,650000,19014,Petrol,Manual
1268,Toyota Corolla,Toyota,2009,300000,23262,Petrol,Manual
1269,Ford Freestyle,Ford,2016,700000,29600,Diesel,Manual
1270,Hyundai i10,Hyundai,2015,310000,35925,Petrol,Manual
1271,Maruti Ignis,Maruti,2018,500000,12000,Petrol,Manual
1272,Toyota Etios,Toyota,2013,415000,40771,Petrol,Manual
1273,Maruti Celerio,Maruti,2015,395000,30500,Petrol,Automatic
1274,Toyota Etios,Toyota,2014,430000,42000,Petrol,Manual
1275,Toyota Corolla,Toyota,2007,215000,55800,Petrol,Manual
1276,Renault Duster,Renault,2014,550000,66569,Diesel,Manual
1277,Volkswagen Polo,Volkswagen,2014,415000,81358,Diesel,Manual
1278,Volkswagen Polo,Volkswagen,2015,450000,82695,Diesel,Manual
1279,Ford Figo,Ford,2014,285000,68293,Diesel,Manual
1280,Honda Jazz,Honda,2016,580000,32000,Petrol,Automatic
1281,Maruti Swift,Maruti,2014,300000,190621,Diesel,Manual
1282,Hyundai Verna,Hyundai,2018,1200000,60000,Diesel,Manual
1283,Maruti 800,Maruti,2006,78000,64700,Petrol,Manual
1284,Maruti 800,Maruti,2002,65000,100000,Petrol,Manual
1285,Tata Zest,Tata,2016,400000,88470,Diesel,Manual
1286,Hyundai Verna,Hyundai,2016,850000,75000,Diesel,Manual
1287,Volkswagen Vento,Volkswagen,2013,450000,120000,Diesel,Manual
1288,Mercedes-Benz E-Class,Mercedes-Benz,2012,2500000,35000,Diesel,Automatic
1289,Toyota Etios,Toyota,2017,780000,70000,Diesel,Manual
1290,Toyota Fortuner,Toyota,2017,3200000,57000,Diesel,Automatic
1291,Maruti Alto,Maruti,2020,350000,1000,Petrol,Manual
1292,Mahindra Quanto,Mahindra,2013,285000,120000,Diesel,Manual
1293,Volkswagen Vento,Volkswagen,2015,525000,98000,Diesel,Manual
1294,Maruti Ciaz,Maruti,2014,550000,90000,Diesel,Manual
1295,Volkswagen Ameo,Volkswagen,2018,580000,70000,Diesel,Manual
1296,Tata Nano,Tata,2013,75000,25000,Petrol,Manual
1297,Tata Manza,Tata,2009,185000,60000,Diesel,Manual
1298,Maruti Omni,Maruti,2007,110000,90000,Petrol,Manual
1299,Honda City,Honda,2004,180000,200000,Petrol,Manual
1300,Volkswagen Polo,Volkswagen,2010,350000,110000,Diesel,Manual
1301,Chevrolet Optra,Chevrolet,2005,60000,126000,Petrol,Manual
1302,Mahindra TUV,Mahindra,2018,695000,70000,Diesel,Manual
1303,Mahindra Alturas,Mahindra,2019,2700000,5000,Diesel,Automatic
1304,Maruti Zen,Maruti,2007,135000,74183,Petrol,Manual
1305,Mahindra Bolero,Mahindra,2015,640000,70000,Diesel,Manual
1306,Maruti Alto,Maruti,2014,160000,90000,Petrol,Manual
1307,Tata Indica,Tata,2004,80000,46000,Petrol,Manual
1308,Maruti Swift,Maruti,2013,340000,110000,Diesel,Manual
1309,Maruti Ritz,Maruti,2012,110000,80000,Diesel,Manual
1310,Tata Sumo,Tata,2013,250000,90000,Diesel,Manual
1311,Toyota Innova,Toyota,2017,1300000,70000,Diesel,Manual
1312,Mahindra Quanto,Mahindra,2014,250000,1,Diesel,Manual
1313,Toyota Innova,Toyota,2009,450000,192000,Diesel,Manual
1314,Maruti Wagon,Maruti,2013,240000,70000,Petrol,Manual
1315,Mahindra Bolero,Mahindra,2007,225000,120000,Diesel,Manual
1316,Maruti Wagon,Maruti,2015,275000,60000,Petrol,Manual
1317,Tata Sumo,Tata,2012,320000,120000,Diesel,Manual
1318,Maruti Alto,Maruti,2008,75000,120000,Petrol,Manual
1319,Tata Indica,Tata,2007,85000,50000,Petrol,Manual
1320,Tata Indica,Tata,2009,90000,120000,Diesel,Manual
1321,Maruti Wagon,Maruti,2007,85000,80000,Petrol,Manual
1322,Mahindra Scorpio,Mahindra,2008,350000,80000,Diesel,Manual
1323,Skoda Superb,Skoda,2009,355000,100000,Diesel,Automatic
1324,Maruti Swift,Maruti,2020,619000,1500,Petrol,Manual
1325,Jeep Compass,Jeep,2018,1700000,50000,Diesel,Manual
1326,Tata Indica,Tata,2006,55000,100000,Diesel,Manual
1327,Ford Fiesta,Ford,2006,95000,83411,Petrol,Manual
1328,Volkswagen Vento,Volkswagen,2011,300000,120000,Diesel,Manual
1329,Ford Fiesta,Ford,2006,81000,83411,Petrol,Manual
1330,Skoda Superb,Skoda,2015,1000000,80000,Diesel,Automatic
1331,Maruti Ertiga,Maruti,2019,925000,50000,Diesel,Manual
1332,Mahindra Bolero,Mahindra,2015,450000,40000,Diesel,Manual
1333,Mahindra Scorpio,Mahindra,2014,600000,13270,Diesel,Manual
1334,Hyundai Santro,Hyundai,2006,85000,100000,Petrol,Automatic
1335,Mahindra Thar,Mahindra,2016,700000,50000,Diesel,Manual
1336,Hyundai Grand,Hyundai,2017,486000,26500,Petrol,Manual
1337,Maruti Swift,Maruti,2013,400000,90000,Diesel,Manual
1338,Ford Fiesta,Ford,2008,120000,100000,Petrol,Manual
1339,Maruti Alto,Maruti,2018,275000,35000,Petrol,Manual
1340,Hyundai i20,Hyundai,2016,580000,57000,Diesel,Manual
1341,Maruti Swift,Maruti,2015,375000,70000,Petrol,Manual
1342,Maruti Wagon,Maruti,2015,229999,100000,Petrol,Manual
1343,Maruti Alto,Maruti,2010,110000,88000,Petrol,Manual
1344,Maruti Swift,Maruti,2017,600000,60000,Diesel,Manual
1345,Maruti A-Star,Maruti,2009,120000,76000,Petrol,Manual
1346,Ford Figo,Ford,2010,200000,100000,Diesel,Manual
1347,Hyundai Verna,Hyundai,2012,450000,110000,Diesel,Manual
1348,Hyundai Verna,Hyundai,2012,550000,80000,Diesel,Manual
